r_f_addr,mi_ctrline,oneway_dir,displayrou,r_t_addr,f_street,objectid,pre_dir,st_type,t_street,l_f_addr,street,l_t_addr,st_name,AREA,PERIMETER,COMAREA_,COMAREA_ID,AREA_NUMBE,COMMUNITY,SHAPE_AREA,SHAPE_LEN,length
3201,0.378012058622,,SHARED-LANE,3459,W BELMONT AVE,192,N,AVE,W CORNELIA AVE,3200,DAMEN AVE,3458,DAMEN,0,0,0,0,5,NORTH CENTER,57054167.85,31391.6697542,608.345794223081
1356,0.0796777382982,,SHARED-LANE,1321,N NOBLE ST,193,W,BLVD,N MILWAUKEE AVE,1357,AUGUSTA BLVD,1328,AUGUSTA,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,128.227452900338
2252,0.113564836487,,SHARED-LANE,2200,N LINCOLN AVE,194,W,AVE,N LEAVITT ST,2251,WILSON AVE,2201,WILSON,0,0,0,0,4,LINCOLN SQUARE,71352328.2399,36624.6030848,182.763321661153
1551,0.076079644831,,BIKE LANE,1526,N ASHLAND AVE,195,W,ST,N ELSTON AVE,1550,CORTLAND ST,1525,CORTLAND,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,122.437017120192
1958,0.440277125688,,BUFFERED BIKE LANE,1546,N DAMEN AVE,196,W,ST,N MARSHFIELD AVE,1959,DIVISION ST,1535,DIVISION,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,708.550311950017
455,0.222835321359,,BUFFERED BIKE LANE,535,W HUBBARD ST,197,N,AVE,W OHIO ST,456,MILWAUKEE AVE,546,MILWAUKEE,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,358.614080903675
1137,0.570685958167,,BIKE LANE,501,W ROOSEVELT RD,199,S,AVE,W CONGRESS PKWY,1136,DAMEN AVE,500,DAMEN,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,918.421215857005
2301,0.0856327051192,,SHARED-LANE,2375,N KENNEDY DAMEN AVE XR,200,N,AVE,W FULLERTON AVE,2300,DAMEN AVE,2347,DAMEN,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,137.811189258421
1659,0.629756662172,,BIKE LANE,1201,W 18TH DR,201,S,BLVD,W ROOSEVELT RD,1658,CALIFORNIA AVE,1200,CALIFORNIA,0,0,0,0,29,NORTH LAWNDALE,89487422.0242,44959.4596627,1013.48753565008
1600,0.50862482778,,BIKE LANE,2000,S ASHLAND AVE,202,W,ST,S DAMEN AVE,1601,TAYLOR ST,2001,TAYLOR,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,818.544003607975
2801,1.83676177029,,BIKE LANE,3963,W DIVERSEY PKWY,203,N,AVE,W IRVING PARK RD,2800,LINCOLN AVE,3954,LINCOLN,0,0,0,0,5,NORTH CENTER,57054167.85,31391.6697542,905.856391241979
2801,1.83676177029,,BIKE LANE,3963,W DIVERSEY PKWY,203,N,AVE,W IRVING PARK RD,2800,LINCOLN AVE,3954,LINCOLN,0,0,0,0,6,LAKE VIEW,87214799.2728,51973.0968677,2050.0948705916
1377,0.15040853211,,BIKE LANE,1301,N SOUTHPORT AVE,204,W,ST,N KINGSBURY ST,1374,CORTLAND ST,1300,CORTLAND,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,242.056357168091
923,0.321125616932,S,BUFFERED BIKE LANE,601,W TAYLOR ST,205,S,ST,W HARRISON ST,922,CLINTON ST,600,CLINTON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,516.794532560389
3054,0.456637316362,,BUFFERED BIKE LANE,2601,W 31ST BLVD,206,S,BLVD,W 26TH ST,3055,CALIFORNIA BLVD,2600,CALIFORNIA,0,0,0,0,30,SOUTH LAWNDALE,127998297.867,49904.0452102,734.880908024888
2958,0.252040503246,,BIKE LANE,2800,S SACRAMENTO AVE,207,W,RD,S CALIFORNIA AVE,2959,MARQUETTE RD,2801,MARQUETTE,0,0,0,0,66,CHICAGO LAWN,98279465.1151,40073.0998382,405.616794849736
1,0.177871695433,S,PROTECTED BIKE LANE,137,W MADISON ST,208,N,ST,W RANDOLPH ST,2,CLINTON ST,136,CLINTON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,286.252855160376
1001,0.227796189817,,BUFFERED BIKE LANE,1159,W OAK ST,653,N,ST,W DIVISION ST,1000,ORLEANS ST,1158,ORLEANS,0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,366.597292324958
5937,0.311337393078,N,BIKE LANE,6177,W THORNDALE AVE,209,N,AVE,W GRANVILLE AVE,5936,KENMORE AVE,6176,KENMORE,0,0,0,0,77,EDGEWATER,48449990.8397,31004.8309456,501.043131765815
2741,0.237224243964,,BIKE LANE,2539,S CALIFORNIA BLVD,210,W,ST,W 31ST ST,2740,31ST BLVD,2538,31ST,0,0,0,0,30,SOUTH LAWNDALE,127998297.867,49904.0452102,381.77238641311
43,0.416430629838,,BIKE LANE,379,S WABASH AVE,211,E,ST,S DR MARTIN LUTHER KING JR DR,44,83RD ST,380,83RD,0,0,0,0,44,CHATHAM,82320670.3112,42006.9450094,670.169102355167
1739,0.661067760162,,BUFFERED BIKE LANE,1201,E 18TH ST,212,S,AVE,E ROOSEVELT RD,1738,WABASH AVE,1200,WABASH,0,0,0,0,33,NEAR SOUTH SIDE,49769639.4541,45053.1651038,1063.71332822401
1739,0.661067760162,,BUFFERED BIKE LANE,1201,E 18TH ST,212,S,AVE,E ROOSEVELT RD,1738,WABASH AVE,1200,WABASH,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,0.155659689131737
2550,0.291113644249,,BIKE LANE,2791,N BRANCH CHICAGO RIVER,213,N,AVE,W DIVERSEY PKWY,2551,DAMEN AVE,2790,DAMEN,0,0,0,0,5,NORTH CENTER,57054167.85,31391.6697542,0.145629230942407
2550,0.291113644249,,BIKE LANE,2791,N BRANCH CHICAGO RIVER,213,N,AVE,W DIVERSEY PKWY,2551,DAMEN AVE,2790,DAMEN,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,468.352002365993
201,0.107554153563,N,BUFFERED BIKE LANE,237,W LAKE ST,214,N,AVE,W FULTON ST,200,MILWAUKEE AVE,236,MILWAUKEE,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,173.089266560217
759,0.640368944568,,BIKE LANE,301,N HALSTED ST,215,W,AVE,N CLARK ST,758,ARMITAGE AVE,300,ARMITAGE,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,1030.56007370027
3301,0.380724764769,,BIKE LANE,3047,S WESTERN BLVD,216,S,AVE,W 31ST ST,3300,WESTERN AVE,3046,WESTERN,0,0,0,0,31,LOWER WEST SIDE,81550723.6377,43229.3727036,378.746906345513
3301,0.380724764769,,BIKE LANE,3047,S WESTERN BLVD,216,S,AVE,W 31ST ST,3300,WESTERN AVE,3046,WESTERN,0,0,0,0,59,MCKINLEY PARK,39431799.6479,26014.0968371,233.964878611519
1405,0.312258124065,,BUFFERED BIKE LANE,1201,S RACINE AVE,217,S,AVE,W ROOSEVELT RD,1400,BLUE ISLAND AVE,1200,BLUE ISLAND,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,502.524697415403
1157,0.496099448695,,BUFFERED BIKE LANE,601,W ROOSEVELT RD,218,S,ST,W HARRISON ST,1156,HALSTED ST,600,HALSTED,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,798.384345958428
6659,0.501786932978,,BUFFERED BIKE LANE,6301,E MARQUETTE RD,230,S,DR,E 63RD ST,6658,DR MARTIN LUTHER KING JR DR,6300,DR MARTIN LUTHER KING JR,0,0,0,0,40,WASHINGTON PARK,42373881.4842,28175.3160866,0.157026292831336
6659,0.501786932978,,BUFFERED BIKE LANE,6301,E MARQUETTE RD,230,S,DR,E 63RD ST,6658,DR MARTIN LUTHER KING JR DR,6300,DR MARTIN LUTHER KING JR,0,0,0,0,69,GREATER GRAND CROSSING,98853167.7093,54645.3302996,807.377191291049
5201,0.505330643411,,BIKE LANE,5559,W FOSTER AVE,231,N,AVE,W BRYN MAWR AVE,5200,KEDZIE AVE,5558,KEDZIE,0,0,0,0,13,NORTH PARK,70288706.4343,41581.9486539,813.245995716519
8403,0.203005503912,,BUFFERED BIKE LANE,8301,S JEFFERY BLVD,232,S,AVE,E 83RD ST,8406,ANTHONY AVE,8300,ANTHONY,0,0,0,0,45,AVALON PARK,34852737.7366,27630.822534,326.698613204498
10258,1.8433247917,,PROTECTED BIKE LANE,8901,W 103RD ST,219,S,AVE,W 89TH ST,10259,VINCENNES AVE,8900,VINCENNES,0,0,0,0,71,AUBURN GRESHAM,105065353.602,46757.7217161,0.155019896868491
10258,1.8433247917,,PROTECTED BIKE LANE,8901,W 103RD ST,219,S,AVE,W 89TH ST,10259,VINCENNES AVE,8900,VINCENNES,0,0,0,0,73,WASHINGTON HEIGHTS,79635752.8769,42222.598163,2966.35122232047
2301,0.306118010102,,BIKE LANE,2483,W BELDEN AVE,220,N,ST,W ST JAMES PL,2300,CLARK ST,2472,CLARK,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,492.642477361015
8058,0.251412131586,,BIKE LANE,7958,E 81ST ST,221,S,DR,E 79TH ST,8059,SOUTH SHORE DR,7959,SOUTH SHORE,0,0,0,0,46,SOUTH CHICAGO,93272185.0092,52435.9794313,404.598295816744
2358,0.125459810042,,BIKE LANE,2300,N JONES ST,222,W,BLVD,N ELSTON AVE,2359,LOGAN BLVD,2301,LOGAN,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,201.906288849012
540,0.0758228719547,,BIKE LANE,571,N JEFFERSON ST,223,W,ST,N CLINTON ST,541,FULTON ST,571,FULTON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,122.023432834252
3700,0.323445664081,,BIKE LANE,3500,E 37TH PL,224,S,AVE,E 35TH ST,3701,COTTAGE GROVE AVE,3501,COTTAGE GROVE,0,0,0,0,35,DOUGLAS,46004621.1581,31027.0545098,0.589218762976591
3700,0.323445664081,,BIKE LANE,3500,E 37TH PL,224,S,AVE,E 35TH ST,3701,COTTAGE GROVE AVE,3501,COTTAGE GROVE,0,0,0,0,36,OAKLAND,16913961.0408,19565.5061533,519.937023867146
3859,0.755182842141,,BIKE LANE,3301,W PERSHING RD,225,S,ST,W 33RD ST,3868,HALSTED ST,3312,HALSTED,0,0,0,0,60,BRIDGEPORT,58291519.2767,32732.7183268,1215.33306161929
1,0.326513181959,,BIKE LANE,189,W MADISON ST,226,N,AVE,W LAKE ST,2,OGDEN AVE,186,OGDEN,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,525.466280399691
2135,0.594248805714,,BIKE LANE,1655,N RIDGE BLVD,227,W,ST,N PAULINA ST,2138,HOWARD ST,1700,HOWARD,0,0,0,0,1,ROGERS PARK,51259902.4506,34052.3975757,0.452415763414427
3225,0.616732728747,,BIKE LANE,2531,N VIRGINIA AVE,228,W,AVE,N MAPLEWOOD AVE,3226,BRYN MAWR AVE,2530,BRYN MAWR,0,0,0,0,2,WEST RIDGE,98429094.8621,43020.6894583,992.528180047352
2498,0.496779901756,,BIKE LANE,2298,S HALSTED AVE,233,S,AVE,S CANAL ST,2499,ARCHER AVE,2297,ARCHER,0,0,0,0,34,ARMOUR SQUARE,27766196.0954,31948.5988398,489.791622408551
2498,0.496779901756,,BIKE LANE,2298,S HALSTED AVE,233,S,AVE,S CANAL ST,2499,ARCHER AVE,2297,ARCHER,0,0,0,0,60,BRIDGEPORT,58291519.2767,32732.7183268,309.687336052348
1200,1.00970787235,,BIKE LANE,3501,W CERMAK RD,234,S,AVE,W ROOSEVELT RD,1201,CENTRAL PARK AVE,3500,CENTRAL PARK,0,0,0,0,29,NORTH LAWNDALE,89487422.0242,44959.4596627,1624.95852774665
6133,0.330259963142,,BUFFERED BIKE LANE,6377,N HYACINTH ST,235,N,AVE,N NAGLE AVE,6134,MILWAUKEE AVE,6362,MILWAUKEE,0,0,0,0,10,NORWOOD PARK,121959105.47,80368.3743778,531.502775126212
2727,0.313860156752,,BIKE LANE,2927,S MARQUETTE AVE,236,E,ST,S EXCHANGE AVE,2726,83RD ST,2926,83RD,0,0,0,0,46,SOUTH CHICAGO,93272185.0092,52435.9794313,505.09660584
833,0.438260202249,,BIKE LANE,1161,S MARYLAND AVE,237,E,ST,S WOODLAWN AVE,832,83RD ST,1160,83RD,0,0,0,0,44,CHATHAM,82320670.3112,42006.9450094,514.188292682819
833,0.438260202249,,BIKE LANE,1161,S MARYLAND AVE,237,E,ST,S WOODLAWN AVE,832,83RD ST,1160,83RD,0,0,0,0,45,AVALON PARK,34852737.7366,27630.822534,191.109847340518
3350,0.142158343348,,BIKE LANE,3431,CALUMET RIVER,238,E,ST,S AVENUE O,3351,95TH ST,3430,95TH,0,0,0,0,46,SOUTH CHICAGO,93272185.0092,52435.9794313,0.130464136789371
3350,0.142158343348,,BIKE LANE,3431,CALUMET RIVER,238,E,ST,S AVENUE O,3351,95TH ST,3430,95TH,0,0,0,0,52,EAST SIDE,83241728.0493,52274.1928493,228.645179878461
6258,0.982982735528,,BIKE LANE,5501,W 63RD ST,239,S,AVE,W GARFIELD BLVD,6259,DAMEN AVE,5500,DAMEN,0,0,0,0,67,WEST ENGLEWOOD,87947691.9478,40195.2033069,1581.94164289271
401,0.443490211039,N,BUFFERED BIKE LANE,725,W KINZIE ST,240,N,ST,W SUPERIOR ST,400,DEARBORN ST,726,DEARBORN,0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,713.717642817144
3601,1.11352208545,,SHARED-LANE,4359,W ADDISON ST,244,N,ST,W MONTROSE AVE,3600,CLARK ST,4358,CLARK,0,0,0,0,6,LAKE VIEW,87214799.2728,51973.0968677,1792.02012909589
5125,0.0259559976587,N,BUFFERED BIKE LANE,5101,PAYNE DR,698,N,AVE,E HYDE PARK BLVD,5124,DREXEL AVE,5100,DREXEL,0,0,0,0,39,KENWOOD,29071741.9283,23325.1679062,0.172068726374957
5125,0.0259559976587,N,BUFFERED BIKE LANE,5101,PAYNE DR,698,N,AVE,E HYDE PARK BLVD,5124,DREXEL AVE,5100,DREXEL,0,0,0,0,41,HYDE PARK,45105380.1732,29746.7082016,41.5992998511499
0,3.37782224432,,OFF-STREET TRAIL,0,W 105TH ST,241,S,TRAIL,CITY LIMITS,0,MAJOR TAYLOR TRAIL,0,MAJOR TAYLOR TRAIL,0,0,0,0,53,WEST PULLMAN,99365198.0822,50023.8430008,3286.1787533811
0,3.37782224432,,OFF-STREET TRAIL,0,W 105TH ST,241,S,TRAIL,CITY LIMITS,0,MAJOR TAYLOR TRAIL,0,MAJOR TAYLOR TRAIL,0,0,0,0,73,WASHINGTON HEIGHTS,79635752.8769,42222.598163,432.174680712058
0,3.37782224432,,OFF-STREET TRAIL,0,W 105TH ST,241,S,TRAIL,CITY LIMITS,0,MAJOR TAYLOR TRAIL,0,MAJOR TAYLOR TRAIL,0,0,0,0,75,MORGAN PARK,91877340.6988,46396.419362,1717.6503460666
1158,0.314081960781,,SHARED-LANE,800,W ROOSEVELT RD,242,S,AVE,W POLK ST,1159,CENTRAL PARK AVE,801,CENTRAL PARK,0,0,0,0,27,EAST GARFIELD PARK,53883220.8462,31514.6259565,99.7558084799324
1158,0.314081960781,,SHARED-LANE,800,W ROOSEVELT RD,242,S,AVE,W POLK ST,1159,CENTRAL PARK AVE,801,CENTRAL PARK,0,0,0,0,29,NORTH LAWNDALE,89487422.0242,44959.4596627,405.707399398557
0,0.262444736268,,ACCESS PATH,0,W 83RD ST,243,S,,MAJOR TAYLOR TRAIL,0,DAN RYAN WOODS ACCESS (STREET LEVEL),0,DAN RYAN WOODS ACCESS (STREET LEVEL),0,0,0,0,70,ASHBURN,135460337.208,54818.1546317,422.359865129476
3033,0.124726075629,,BIKE LANE,3127,S HOUSTON AVE,257,E,ST,S SOUTH SHORE DR,3032,83RD ST,3126,83RD,0,0,0,0,46,SOUTH CHICAGO,93272185.0092,52435.9794313,200.722073851333
1558,0.252139595322,,BUFFERED BIKE LANE,1400,N ASHLAND AVE,396,W,BLVD,N NOBLE ST,1559,AUGUSTA BLVD,1401,AUGUSTA,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,405.77494101133
3730,0.504464805858,,BIKE LANE,3400,N HAMLIN AVE,245,W,AVE,N KIMBALL AVE,3731,WRIGHTWOOD AVE,3401,WRIGHTWOOD,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,811.853230783154
1475,0.403203133432,,BIKE LANE,1200,N CLARK ST,246,W,DR,N BROADWAY,1474,LAWRENCE AVE,1201,LAWRENCE,0,0,0,0,3,UPTOWN,65095642.7289,46972.7945549,648.885461215779
2001,0.502094602038,,BIKE LANE,1601,N DAMEN AVE,247,W,DR,N ASHLAND AVE,2000,LAWRENCE AVE,1600,LAWRENCE,0,0,0,0,4,LINCOLN SQUARE,71352328.2399,36624.6030848,415.794081870637
2001,0.502094602038,,BIKE LANE,1601,N DAMEN AVE,247,W,DR,N ASHLAND AVE,2000,LAWRENCE AVE,1600,LAWRENCE,0,0,0,0,3,UPTOWN,65095642.7289,46972.7945549,392.241006015635
3601,0.839447169543,,SHARED-LANE,2901,N CENTRAL PARK AVE,248,W,AVE,N BRANCH CHICAGO RIVER,3600,LAWRENCE AVE,2900,LAWRENCE,0,0,0,0,14,ALBANY PARK,53542230.8191,39339.0164387,1350.95138401916
1201,0.251324096735,,BIKE LANE,1359,S WOODLAWN AVE,249,E,ST,S DORCHESTER AVE,1200,83RD ST,1358,83RD,0,0,0,0,45,AVALON PARK,34852737.7366,27630.822534,404.458967526652
1601,0.344904502383,,SHARED-LANE,1851,S STONY ISLAND AVE,250,E,ST,S ANTHONY AVE,1600,83RD ST,1840,83RD,0,0,0,0,45,AVALON PARK,34852737.7366,27630.822534,555.058308169088
4401,0.253573839448,,SHARED-LANE,4759,W WILSON AVE,251,N,ST,W LAWRENCE AVE,4400,CLARK ST,4758,CLARK,0,0,0,0,3,UPTOWN,65095642.7289,46972.7945549,408.083246201234
3701,0.126994904043,,BIKE LANE,3801,S AVENUE J,252,E,ST,S AVENUE G,3700,100TH ST,3800,100TH,0,0,0,0,52,EAST SIDE,83241728.0493,52274.1928493,204.372848601438
720,0.115896006033,E,BUFFERED BIKE LANE,662,I-90/94,253,W,BLVD,N DESPLAINES ST,719,WASHINGTON BLVD,661,WASHINGTON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,186.514094224219
2051,0.328224791242,,SHARED-LANE,1900,N SEELEY AVE,254,W,AVE,N RAVENSWOOD AVE,2050,WILSON AVE,1901,WILSON,0,0,0,0,4,LINCOLN SQUARE,71352328.2399,36624.6030848,528.22165083498
401,0.126376045416,,SHARED-LANE,436,S DR MARTIN LUTHER KING JR DR,255,E,ST,S EBERHART AVE,400,83RD ST,456,83RD,0,0,0,0,44,CHATHAM,82320670.3112,42006.9450094,203.379051945925
601,0.31455251323,,SHARED-LANE,827,S ST LAWRENCE AVE,256,E,ST,S MARYLAND AVE,600,83RD ST,826,83RD,0,0,0,0,44,CHATHAM,82320670.3112,42006.9450094,506.214124903363
500,0.0625218485018,,BUFFERED BIKE LANE,430,S EBERHART AVE,0,E,RD,S VERNON AVE,501,MARQUETTE RD,431,MARQUETTE,0,0,0,0,42,WOODLAWN,57815179.512,46936.9592443,100.617446445267
3541,0.427025512635,,SHARED-LANE,3859,N ELSTON AVE,258,N,AVE,W BYRON ST,3542,KEDZIE AVE,3858,KEDZIE,0,0,0,0,16,IRVING PARK,89611382.3106,49083.2240938,608.013847112734
3541,0.427025512635,,SHARED-LANE,3859,N ELSTON AVE,258,N,AVE,W BYRON ST,3542,KEDZIE AVE,3858,KEDZIE,0,0,0,0,21,AVONDALE,55290595.473,34261.9334038,79.2129203840825
1078,0.159950219705,,BIKE LANE,1000,S ABERDEEN ST,259,W,ST,S MORGAN ST,1079,TAYLOR ST,1001,TAYLOR,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,257.411764810224
2201,0.0866037345114,,BIKE LANE,2239,W WEBSTER AVE,260,N,AVE,N KENNEDY DAMEN AVE XR,2200,DAMEN AVE,2238,DAMEN,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,139.373893848513
1500,0.220542346797,W,BIKE LANE,1554,N ASHLAND AVE,261,W,BLVD,N OGDEN AVE,1501,WASHINGTON BLVD,1553,WASHINGTON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,354.924648604738
3252,0.619941355026,,BUFFERED BIKE LANE,2800,W GRAND AVE,262,W,BLVD,N CALIFORNIA AVE,3233,AUGUSTA BLVD,2801,AUGUSTA,0,0,0,0,23,HUMBOLDT PARK,100480876.502,48583.0643299,177.732015773087
3252,0.619941355026,,BUFFERED BIKE LANE,2800,W GRAND AVE,262,W,BLVD,N CALIFORNIA AVE,3233,AUGUSTA BLVD,2801,AUGUSTA,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,819.96021921739
6459,0.416124214225,,BIKE LANE,6141,W 65TH ST,263,S,ST,W 63RD PKWY,6458,HALSTED ST,6142,HALSTED,0,0,0,0,68,ENGLEWOOD,85652323.0826,42316.8442973,669.678095124652
3429,0.31365695652,,SHARED-LANE,3201,N BERNARD AVE,264,W,AVE,N KEDZIE AVE,3428,BRYN MAWR AVE,3200,BRYN MAWR,0,0,0,0,13,NORTH PARK,70288706.4343,41581.9486539,504.779096888187
4800,0.506461739543,,BIKE LANE,5200,N CICERO AVE,265,W,AVE,N LARAMIE AVE,4801,DIVERSEY AVE,5201,DIVERSEY,0,0,0,0,19,BELMONT CRAGIN,109099414.689,43311.707379,815.069817719336
5759,0.351732675666,,BIKE LANE,5501,W 58TH ST,266,S,AVE,W GARFIELD BLVD,5758,RACINE AVE,5500,RACINE,0,0,0,0,67,WEST ENGLEWOOD,87947691.9478,40195.2033069,566.052006165883
3400,0.268696011682,,BIKE LANE,3564,W ROSCOE ST,267,N,AVE,W ADDISON ST,3401,CALIFORNIA AVE,3565,CALIFORNIA,0,0,0,0,16,IRVING PARK,89611382.3106,49083.2240938,0.143510013390739
3400,0.268696011682,,BIKE LANE,3564,W ROSCOE ST,267,N,AVE,W ADDISON ST,3401,CALIFORNIA AVE,3565,CALIFORNIA,0,0,0,0,21,AVONDALE,55290595.473,34261.9334038,432.277715745713
5201,0.506670154058,,BIKE LANE,5601,W FOSTER AVE,268,N,ST,W BRYN MAWR AVE,5200,CLARK ST,5600,CLARK,0,0,0,0,3,UPTOWN,65095642.7289,46972.7945549,2.0226586240961
5201,0.506670154058,,BIKE LANE,5601,W FOSTER AVE,268,N,ST,W BRYN MAWR AVE,5200,CLARK ST,5600,CLARK,0,0,0,0,77,EDGEWATER,48449990.8397,31004.8309456,813.375467623571
3601,0.124163052737,,BIKE LANE,3701,W ADDISON ST,291,N,ST,W WAVELAND AVE,3600,HALSTED ST,3700,HALSTED,0,0,0,0,6,LAKE VIEW,87214799.2728,51973.0968677,199.818557198974
6151,0.0578459362828,,BUFFERED BIKE LANE,6176,N MELVINA AVE,720,N,AVE,N MILWAUKEE AVE,6150,ELSTON AVE,6177,ELSTON,0,0,0,0,10,NORWOOD PARK,121959105.47,80368.3743778,93.0941454302473
6359,0.503760930491,,SHARED-LANE,6001,N NAGLE AVE,269,W,ST,N AUSTIN AVE,6358,GUNNISON ST,6000,GUNNISON,0,0,0,0,11,JEFFERSON PARK,64868161.6818,44011.9571704,810.422144385305
258,0.377461493528,,BIKE LANE,2,CHICAGO RIVER,270,W,RD,S STATE ST,259,ROOSEVELT RD,1,ROOSEVELT,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,0.237340040904133
258,0.377461493528,,BIKE LANE,2,CHICAGO RIVER,270,W,RD,S STATE ST,259,ROOSEVELT RD,1,ROOSEVELT,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,607.219048149601
2170,0.557298306271,,SHARED-LANE,1886,W TAYLOR ST,271,W,AVE,W CONGRESS PKWY,2161,OGDEN AVE,1885,OGDEN,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,896.876174774046
0,2.67669191284,,OFF-STREET TRAIL,0,N RIDGELAND AVE,272,W,TRAIL,N ASHLAND AVE,0,BLOOMINGDALE TRAIL,0,BLOOMINGDALE TRAIL,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,1333.91392891567
0,2.67669191284,,OFF-STREET TRAIL,0,N RIDGELAND AVE,272,W,TRAIL,N ASHLAND AVE,0,BLOOMINGDALE TRAIL,0,BLOOMINGDALE TRAIL,0,0,0,0,23,HUMBOLDT PARK,100480876.502,48583.0643299,290.2041728002
0,2.67669191284,,OFF-STREET TRAIL,0,N RIDGELAND AVE,272,W,TRAIL,N ASHLAND AVE,0,BLOOMINGDALE TRAIL,0,BLOOMINGDALE TRAIL,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,2683.56703540268
301,0.0817633114063,,BIKE LANE,339,W FULTON ST,273,N,ST,METRA TRACKS,300,CLINTON ST,338,CLINTON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,131.583508623271
2001,0.251359356123,,BIKE LANE,2159,W ARMITAGE ST,274,N,AVE,W WEBSTER AVE,2000,DAMEN AVE,2160,DAMEN,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,404.519874089694
2382,0.0529329624332,,SHARED-LANE,2365,N WESTERN AVE,275,W,BLVD,N JONES ST,2383,LOGAN BLVD,2364,LOGAN,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,85.1866353842551
5001,0.103421304164,,SHARED-LANE,5074,I-90,276,N,AVE,W CARMEN AVE,5000,MILWAUKEE AVE,5075,MILWAUKEE,0,0,0,0,11,JEFFERSON PARK,64868161.6818,44011.9571704,166.440397953514
800,0.224790113696,N,BIKE LANE,933,W CHICAGO AVE,277,N,ST,W WALTON ST,801,DEARBORN ST,932,DEARBORN,0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,361.759223125712
6759,0.503296316731,,SHARED-LANE,6401,S OAK PARK AVE,278,W,ST,S NARRAGANSETT AVE,6758,63RD ST,6400,63RD,0,0,0,0,64,CLEARING,71145192.3827,45363.2861749,809.978151819129
1861,0.627252311703,,SHARED-LANE,2359,W CORTLAND ST,279,N,AVE,W FULLERTON AVE,1860,NARRAGANSETT AVE,2358,NARRAGANSETT,0,0,0,0,19,BELMONT CRAGIN,109099414.689,43311.707379,802.996173889239
1861,0.627252311703,,SHARED-LANE,2359,W CORTLAND ST,279,N,AVE,W FULLERTON AVE,1860,NARRAGANSETT AVE,2358,NARRAGANSETT,0,0,0,0,25,AUSTIN,199254203.427,75226.4749167,206.47016279344
2801,0.759581840965,,SHARED-LANE,3359,W DIVERSEY AVE,280,N,AVE,W ROSCOE ST,2800,NARRAGANSETT AVE,3362,NARRAGANSETT,0,0,0,0,17,DUNNING,103595001.175,54555.9925337,408.930777194061
2801,0.759581840965,,SHARED-LANE,3359,W DIVERSEY AVE,280,N,AVE,W ROSCOE ST,2800,NARRAGANSETT AVE,3362,NARRAGANSETT,0,0,0,0,19,BELMONT CRAGIN,109099414.689,43311.707379,813.499715241382
1245,0.0970592498516,,BIKE LANE,1201,N KINGSBURY ST,281,W,ST,N RACINE AVE,1246,CORTLAND ST,1204,CORTLAND,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,156.199928940211
9800,0.400731099003,N,BIKE LANE,9562,E BISHOP FORD EXPY,282,S,ST,E 95TH ST,9801,STATE ST,9563,STATE,0,0,0,0,49,ROSELAND,134313706.73,56632.7954292,644.903910147538
